Salon Name,Street Address,Suite or Unit,City,State,ZIP Code,Phone Number,Website,Salon Photo,Stylists,Full Address,Number of Stylists,Stylists Verified,Percent Stylists Verified,Salon Summary (AI),Salon Instagram Research (AI)
Curls by Colleen,20 Assembly Drive,Suite 103,Mendon,NY,14506,(585) 750-9368,curlsbycolleen.com,abstract_29.png (https://v5.airtableusercontent.com/v3/u/46/46/1761019200000/z_XdemTB8ECzt_CV18HHzg/tvml8on-ViP8WX9fnPHCE4RkBEWYktmArDTf2AeCTqe2abSzT2jj_2L7gHSjgRVoqpvOjcQtwTi6ittf7M72oRV0ki60iUXmgf9TDSb__Oi6ziWOqejQ6bCzj9djqTUYrALesKu9BAiUsNpk4-uCUVRRf20gAeZUhoAE5Yefcko/EhdaGyUxTDAjpj2ZO_eA_rwZKZG5cBjb64XRwJ7kjWQ),Colleen Collier,"20 Assembly Drive, Suite/Unit: Suite 103, Mendon, NY 14506",1,TRUE,100,"Curls by Colleen is a boutique salon specializing in curly hair care, offering personalized services in a welcoming environment.",Instagram presence highlights client transformations and curly hair education.
Total Knockout Salon (TKO Salon),1270 Commercial Drive,Suite B,Farmington,NY,14425,(585) 394-0640,totalknockoutsalon.com,abstract_12.png (https://v5.airtableusercontent.com/v3/u/46/46/1761019200000/kvhbAVBBKsOnQp5oRpUvHA/eHVKgsXpKcODky5rYG-zFmTeYN8Y90q9jCyRxN_AGbTWDIHJ2eRX647cj9xq6qJXTqHidrbYDoy4GmU2cKATubGoVvnvPlUXuVlx4K2AYOAsR-90SsI73VHkpWYiTDEPhPjTzPwrudv_7jl5yKhockUOu9HAIudq1GHQ_GxH1V8/rNyFNrZZWtdJRzqbYJGW3OW81hWq331ZkB-em3fnjUk),Lindsey Shallenberger,"1270 Commercial Drive, Suite/Unit: Suite B, Farmington, NY 14425",1,TRUE,100,"Total Knockout Salon (TKO Salon) is a modern salon with a team of stylists skilled in various hair textures, known for their friendly service.",Instagram features stylist spotlights and before/after curly cuts.
Parlour Hair Salon,16 N Goodman Street,Suite 112,Rochester,NY,14607,,parloursalonroc.com,abstract_41.png (https://v5.airtableusercontent.com/v3/u/46/46/1761019200000/dxKJYCRil2VBwEklyhj6xw/8QSnt7JTyjYifCt0KDBAWAQFkOPDPgoxB8mxvFOQVjqg9FGsNRtHyjL2qQ0y6auEhNElDWsdG0-3YIe2Fo9VKuyAc1I1DaGrv9MESqbsa1hafD0lQN7BNvfxWKvxH8bjMrp0nzAPuCahKh1Qo6D4cVFAHEfhH8oAfc8J_qrJjEs/hzZZRgEw1oORrCUey5I6Kr58CUPdw1LodawACaMVyK0),"Andrea Bonawitz,""Macalia """"Mac"""" Erickson""","16 N Goodman Street, Suite/Unit: Suite 112, Rochester, NY 14607",2,"TRUE,TRUE",100,Parlour Hair Salon provides expert curly hair services with a focus on healthy hair and client education.,Instagram showcases product tips and curly hair styling tutorials.
Cheri' Marie Salon + Suites,277 Alexander Street,Suite 100,Rochester,NY,14607,(860) 751-4089,,abstract_9.png (https://v5.airtableusercontent.com/v3/u/46/46/1761019200000/JzU840S8us-n1271QU8nQQ/CdbWB9wNFecWvuuR-a3w0Zd8OFTwUDSqMQCJR-YqnsV9zjWSDvK7p9Lu76RqQcirT2P5vnyhS0CkNG_5k-M0AWs36-JFLne8AmWyQy9k-YHtZjbA63b7FCikrmTzXGB-HEJ18MiDycelfhFy9q0K71ZBXvd3hbpUamrHmSQe4CE/2zzlYp8A54jQwvvEl89qIf3O7jWgBlS79HpoGsVDJhw),Carrie Davids,"277 Alexander Street, Suite/Unit: Suite 100, Rochester, NY 14607",1,TRUE,100,"Cheri' Marie Salon + Suites offers private suites for stylists, specializing in textured and curly hair.",Instagram posts highlight suite amenities and stylist achievements.
Alabaster Beauty,2080 West Ridge Road,,Rochester,NY,14626,(585) 738-5746,,abstract_31.png (https://v5.airtableusercontent.com/v3/u/46/46/1761019200000/d0mEdi3XNw1YFlIANaDZmw/N7uTPD3lrRQendbcAivpF0D5mNQNdrs4lGBkOGBOVmYtSL8vRvJFrczhR4j2oBI7hi1zeg82EQUSu4aRO3sPlcgK_nWKhO7xCNKGR-Dufa5hvT2hsnXApRM9huT5lcbnWnmV_MgmHUMBKfaEE-FFpxJdCV9HaZjm3SLj_K1vs7A/mJ5T-iu9HpJoBfTgkCxbOsw8uZYtYv5UPFJjbVgaX88),Samantha Johnson,"2080 West Ridge Road, Rochester, NY 14626",1,TRUE,100,Alabaster Beauty is a cozy salon dedicated to natural hair care and curly hair expertise.,Instagram content focuses on natural hair journeys and client testimonials.
Bangz Salon,807 Liberty Street,,Penfield,NY,14526,585-248-8140,bangzsalon.com,,"Tammy Allen,Sofia Alvarez,Sheila Peters,Jackie Varone,Beth D'Angelo-Schroth,Tessa Glaze","807 Liberty Street, Penfield, NY 14526",6,"TRUE,TRUE,TRUE,TRUE,TRUE,TRUE",100,,
W Salon Rochester,3246 Monroe Avenue,,Rochester,NY,14626,,wsalonrochester.com,,"Jeanette Jarvis,Olivia Parker,Jessica Kirkland","3246 Monroe Avenue, Rochester, NY 14626",3,"TRUE,TRUE,TRUE",100,,
Esther's Place,1118 Garson Ave,,Rochester,NY,14609,,domaroundtown.com,,"""Dominique """"Dom"""" Curry""","1118 Garson Ave, Rochester, NY 14609",1,TRUE,100,,
Oddity Studio,233 Alexander St,Ste 3,Rochester,NY,14607,,,,Alex Slocum,"233 Alexander St, Suite/Unit: Ste 3, Rochester, NY 14607",1,TRUE,100,,
Mirror Mirror Hair Studio,1945 E Main St,,Rochester,NY,14609,(585) 978-2095,https://imthefairestofthemall.com/,,Angelica Ritter,"1945 E Main St, Rochester, NY 14609",1,TRUE,100,,
Julianna Salon Rochester,654 South Ave,,Rochester,NY,14620,(585) 376-0483,https://www.juliannasalon.com/,,,"654 South Ave, Rochester, NY 14620",0,,0,,